INVENTORY,RENU,CAMP,Smart Build,Lowest,Highest,Spread
  SCOPE ITEMS,,,,,,
Full Reno,"$735,513.57","$611,709.59","$756,471.87","$611,709.59","$756,471.87",23.7%
Partial Reno,"$1,387,138.11","$1,444,819.29","$1,477,475.24","$1,387,138.11","$1,477,475.24",6.5%
Lofts - Teak Veneer,"$275,119.75","$184,172.37","$265,170.96","$184,172.37","$275,119.75",49.4%
Lofts - Glass,"$172,456.75","$132,308.82","$197,958.70","$132,308.82","$197,958.70",49.6%
  Subtotal — Scope Items,"$2,570,228.18","$2,373,010.07","$2,697,076.77","$2,373,010.07","$2,697,076.77",13.7%
,,,,,,
  ALLOWANCE ITEMS,,,,,,
Full Reno,"$692,128.22","$532,852.23","$715,262.96","$532,852.23","$715,262.96",34.2%
Partial Reno,"$3,643,159.71","$3,141,084.52","$3,813,222.15","$3,141,084.52","$3,813,222.15",21.4%
Lofts - Teak Veneer,"$42,915.00","$46,780.11","$51,265.62","$42,915.00","$51,265.62",19.5%
Lofts - Glass,"$88,839.55","$71,396.14","$130,208.16","$71,396.14","$130,208.16",82.4%
  Subtotal — Allowance Items,"$4,467,042.48","$3,792,113.00","$4,709,958.89","$3,792,113.00","$4,709,958.89",24.2%
,,,,,,
  GRAND TOTAL,"$7,037,270.66","$6,165,123.07","$7,407,035.66","$6,165,123.07","$7,407,035.66",20.1%
